dimhash	segments	segt
0x00000000		0
0x2977c24bdd0932ed12e8bdab0ac5507a	FairValueByFairValueHierarchyLevel=FairValueInputsLevel3;FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;	0
0x2af191f282beda4ecf1c9d6c545d255d	FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;	0
0x32680e2fbdb93c7342b6017365c1e338	ReserveQuantitiesByTypeOfReserve=NaturalGasReserves;	0
0x3a8bc7333091b2bb033fa1537483dbfa	FairValueByFairValueHierarchyLevel=FairValueInputsLevel1;	0
0x41e32bf2db8b8701273562c13075856f	FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;	0
0x4b6210c8bc381142cdb473ce4f0dfc49	ReserveQuantitiesByTypeOfReserve=OilReserves;	0
0x5982a9cbec7751ed45402dbefd397f6c	ClassOfStock=CommonStock;	0
0x5a3d7ce68182ce95f21fa28376c0bcdb	PropertyPlantAndEquipmentByType=LeaseholdsAndLeaseholdImprovements;	0
0x670c5ea501107fded58587df932177eb	ClassOfStock=RetainedEarnings;	0
0x6aa6d869cdb7677467693091c73aa7e5	BalanceSheetLocation=OtherLiabilities;DerivativeInstrumentRisk=CommodityContract;HedgingDesignation=Nondesignated;	0
0x6efdafb4e5ec428324c78bae7038fbbd	RelatedPartyTransactionsByRelatedParty=ImmediateFamilyMemberOfManagementOrPrincipalOwner;	0
0x7a8b661a794a3018e3d4cf721a1ec08f	GuaranteeObligationsByNature=LetterOfCredit;	0
0xaba7b822b6ca13da217018e4e0bd709c	RelatedPartyTransactionsByRelatedParty=AffiliatedEntity;	0
0xbbdfeaee71d68173c642b3dbe6eac305	IncomeTaxAuthority=InternalRevenueServiceIRS;	0
0xc0f10a5576a31df9c9dad29456591ee6	ConcentrationRiskByBenchmark=AccountsReceivable;	0
0xd40f458f11aad25222460170d98258db	BalanceSheetLocation=OtherAssets;DerivativeInstrumentRisk=CommodityContract;HedgingDesignation=Nondesignated;	0
0xd77acb3b756386cae69b0311d1b2330b	Range=Minimum;	0
0xdb667150ce3868dc87c2d5ebcdb3014b	FairValueByFairValueHierarchyLevel=FairValueInputsLevel2;FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;	0
0xdb96430561c693d2c442b30fac87758a	ConsolidationItems=OperatingSegments;	0
0xe0473ad16be3e70e16a75e3dacad712d	Range=Maximum;	0
0xf53bf1f87d3c2a771b99baf9af7e78cd	ClassOfStock=AdditionalPaidInCapital;	0
0x0a6f4b1c08afee501f061999d75639ef	DerivativeInstrumentRisk=CommodityContract;	0
0x94adc8d2ef1ea62b51866a79644df096	FairValueByMeasurementFrequency=FairValueMeasurementsRecurring;	0
0x068fe4e0216785636f93d02603a4fed6	SubsequentEventType=SubsequentEvent;	0
0x238107863400b50f0580e4398e4698b6	IncomeStatementLocation=ResearchAndDevelopmentExpense;	0
0x4831da1472cc9f604c8c0448254f75b1	DerivativeInstrumentsGainLossByHedgingRelationship=DesignatedAsHedgingInstrument;	0
0x4bf2cda76cec38c6e317d21d6836bd50	DerivativeInstrumentsGainLossByHedgingRelationship=CashFlowHedging;	0
0x4e7c4897f650b3f6fc04c245f6916475	DerivativeInstrumentsGainLossByHedgingRelationship=Nondesignated;IncomeStatementLocation=OtherNonoperatingIncomeExpense;	0
0x5712241f688632ac44212b5c31fb049f	IncomeStatementLocation=CostOfSales;	0
0x6c751b876743de62a8e930548722f406	BusinessSegments=AllOtherSegments;	0
0x6fe5431ca86d31ae7dda94c54ce8621a	AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareByAntidilutiveSecurities=StockCompensationPlan;	0
0x8fc1a9f1d4eaa7702123f37031d313ae	AwardType=EmployeeStockOption;	0
0xa22503420f23908820314b914f60a0e2	AwardType=PerformanceShares;	0
0xbd45a217e3032add5b66908f6c3b0c89	IncomeStatementLocation=SellingGeneralAndAdministrativeExpenses;	0
0xe6276a95b4d904de3a139051e445ab1c	CreditFacility=RevolvingCreditFacility;	0
0x03b6dd82aa1f7fd74401d4b34f93b482	EquityComponents=AdditionalPaidInCapital;	0
0x2961a7af18009dffc06d7ec01a5d011c	EquityComponents=TreasuryStock;	0
0x2bea873ec009ac34c4d14deb5c0cc4f0	EquityComponents=AccumulatedOtherComprehensiveIncome;	0
0x3ab47f0f5376ff107615a17c243bfeeb	FairValueByMeasurementBasis=CarryingReportedAmountFairValueDisclosure;	0
0x67850a845c93068ab03fbf83c85f7a0d	EquityComponents=CommonStock;	0
0x754d2871482a2d16e68c4f09eeda5872	AwardType=DeferredStockUnits;	0
0x75a2decfb302ac409507573c5debb73f	FairValueByMeasurementBasis=EstimateOfFairValueFairValueDisclosure;	0
0x985f6fdd6365b6cde8c2652f6dc6a73a	EquityComponents=NoncontrollingInterest;	0
