adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks	pubfloatusd	floatdate	floataxis	floatmems
0000014707-23-000030	14707	CALERES INC	3140	US	MO	ST LOUIS	63105	8300 MARYLAND AVE	P O BOX 29	3148544000	US	MO	ST LOUIS	63166	P O BOX 29		US	NY	430197190	BROWN SHOE CO INC	20030613	1-LAF	0	0131	8-K	20230531			20230601	2023-06-01 07:51:00.0	0	0	cal-20230601x8k_htm.xml	1					
0000016918-23-000096	16918	CONSTELLATION BRANDS, INC.	2080	US	NY	VICTOR	14564	207 HIGH POINT DRIVE	BUILDING 100	585-678-7100	US	NY	VICTOR	14564	207 HIGH POINT DRIVE	BUILDING 100	US	DE	160716709	CONSTELLATION BRANDS INC	20000920	1-LAF	0	0228	DEF 14A				20230601	2023-06-01 08:57:00.0	0	0	stz-20230531_htm.xml	1					
0000037472-23-000016	37472	FLEXSTEEL INDUSTRIES INC	2510	US	IA	DUBUQUE	52001	385 BELL ST.		3195567730	US	IA	DUBUQUE	52004-0877	P.O. BOX 877		US	MN	420442319			2-ACC	0	0630	8-K	20230531			20230601	2023-06-01 17:08:00.0	0	0	flxs-20230526x8k_htm.xml	1					
0000040987-23-000023	40987	GENUINE PARTS CO	5013	US	GA	ATLANTA	30339	2999 WILDWOOD PARKWAY		6789345000	US	GA	ATLANTA	30339	2999 WILDWOOD PARKWAY		US	GA	580254510			1-LAF	0	1231	8-K	20230531			20230601	2023-06-01 16:47:00.0	0	0	gpc-20230601_htm.xml	1					
0000048465-23-000044	48465	HORMEL FOODS CORP /DE/	2011	US	MN	AUSTIN	55912-3680	1 HORMEL PL		(507) 437-5611	US	MN	AUSTIN	55912-3680	1 HORMEL PLACE		US	DE	410319970	HORMEL GEO A & CO	19920703	1-LAF	0	1031	8-K	20230531			20230601	2023-06-01 06:32:00.0	0	0	hrl-20230601_htm.xml	1					
0000048465-23-000046	48465	HORMEL FOODS CORP /DE/	2011	US	MN	AUSTIN	55912-3680	1 HORMEL PL		(507) 437-5611	US	MN	AUSTIN	55912-3680	1 HORMEL PLACE		US	DE	410319970	HORMEL GEO A & CO	19920703	1-LAF	0	1031	10-Q	20230430	2023	Q2	20230601	2023-06-01 15:42:00.0	0	1	hrl-20230430_htm.xml	1					
0000049071-23-000029	49071	HUMANA INC	6324	US	KY	LOUISVILLE	40202	500 W MAIN ST		5025801000	US	KY	LOUISVILLE	40202	500 W. MAIN ST		US	DE	610647538	EXTENDICARE INC	19740404	1-LAF	0	1231	8-K	20230531			20230601	2023-06-01 06:34:00.0	1	0	hum-20230601_htm.xml	1					
0000060667-23-000114	60667	LOWES COMPANIES INC	5211	US	NC	MOORESVILLE	28117	1000 LOWES BLVD.		704-758-1000	US	NC	MOORESVILLE	28117	1000 LOWES BLVD.		US	NC	560578072			1-LAF	0	0131	10-Q	20230430	2023	Q1	20230601	2023-06-01 16:16:00.0	0	1	low-20230505_htm.xml	1					
0000060667-23-000115	60667	LOWES COMPANIES INC	5211	US	NC	MOORESVILLE	28117	1000 LOWES BLVD.		704-758-1000	US	NC	MOORESVILLE	28117	1000 LOWES BLVD.		US	NC	560578072			1-LAF	0	0131	8-K	20230531			20230601	2023-06-01 16:17:00.0	0	0	low-20230526_htm.xml	1					
0000062996-23-000020	62996	MASCO CORP /DE/	3430	US	MI	LIVONIA	48152	17450 COLLEGE PARKWAY		3132747400	US	MI	LIVONIA	48152	17450 COLLEGE PARKWAY		US	DE	381794485	MASCO SCREW PRODUCTS CO	19731025	1-LAF	0	1231	8-K	20230531			20230601	2023-06-01 16:25:00.0	0	0	mas-20230531_htm.xml	1					
0000063908-23-000059	63908	MCDONALDS CORP	5812	US	IL	CHICAGO	60607	110 NORTH CARPENTER STREET		630 623 3000	US	IL	CHICAGO	60607	110 NORTH CARPENTER STREET		US	DE	362361282			1-LAF	0	1231	8-K	20230531			20230601	2023-06-01 16:17:00.0	0	0	mcd-20230525_htm.xml	1					
0000071508-23-000004	71508	ENTERGY NEW ORLEANS, LLC	4931	US	LA	NEW ORLEANS	70112	1600 PERDIDO ST		504-670-3700	US	LA	NEW ORLEANS	70112	1600 PERDIDO ST		US	TX	822212934	ENTERGY NEW ORLEANS, INC	20170502		0	1231	8-K	20230531			20230601	2023-06-01 16:39:00.0	0	0	etr-20230531_htm.xml	1					
0000078890-23-000260	78890	BRINKS CO	4731	US	VA	RICHMOND	23226-1800	1801 BAYBERRY COURT	P O BOX 18100	804-289-9600	US	VA	RICHMOND	23226-8100	1801 BAYBERRY COURT	P O BOX 18100	US	VA	541317776	PITTSTON CO	19920703	1-LAF	0	1231	8-K	20230531			20230601	2023-06-01 07:21:00.0	0	0	bco-20230601_htm.xml	1					
0000092380-23-000029	92380	SOUTHWEST AIRLINES CO	4512	US	TX	DALLAS	75235	2702 LOVE FIELD DR	P O BOX 36611	2147924000	US	TX	DALLAS	75235-1611	PO BOX 36611		US	TX	741563240	AIR SOUTHWEST CO	19760108	1-LAF	0	1231	8-K	20230531			20230601	2023-06-01 06:31:00.0	0	0	luv-20230601_htm.xml	1					
0000108385-23-000022	108385	WORLD ACCEPTANCE CORP	6141	US	SC	GREENVILLE	29607	108 FREDRICK STREET		8642989800	US	SC	GREENVILLE	29606	P O BOX 6429		US	SC	570425114	WORLD FINANCE CORP	19700210	2-ACC	0	0331	10-K	20230331	2022	FY	20230601	2023-06-01 16:36:00.0	0	1	wrld-20230331_htm.xml	1		388692894.00	20220930		1
0000215466-23-000107	215466	COEUR MINING, INC.	1040	US	IL	CHICAGO	60606	200 SOUTH WACKER DRIVE	SUITE 2100	312-489-5800	US	IL	CHICAGO	60606	200 SOUTH WACKER DRIVE	SUITE 2100	US	DE	820109423	COEUR D ALENE MINES CORP	19920703	1-LAF	0	1231	8-K	20230531			20230601	2023-06-01 16:33:00.0	1	0	cde-20230525_htm.xml	1					
0000350894-23-000058	350894	SEI INVESTMENTS CO	6211	US	PA	OAKS	19456-1100	1 FREEDOM VALLEY DRIVE		6106761000	US	PA	OAKS	19456-1100	1 FREEDOM VALLEY DRIVE		US	PA	231707341	SEI INVESTMENT CO	20040806	1-LAF	0	1231	8-K	20230531			20230601	2023-06-01 16:58:00.0	0	0	seic-20230531_htm.xml	1					
0000711404-23-000029	711404	COOPER COMPANIES, INC.	3851	US	CA	SAN RAMON	94583	6101 BOLLINGER CANYON ROAD	SUITE 500	9254603600	US	CA	SAN RAMON	94583	6101 BOLLINGER CANYON ROAD	SUITE 500	US	DE	942657368	COOPER COMPANIES INC	19920703	1-LAF	0	1031	8-K	20230531			20230601	2023-06-01 16:19:00.0	0	0	coo-20230601_htm.xml	1					
0000731012-23-000090	731012	HEALTHCARE SERVICES GROUP INC	8050	US	PA	BENSALEM	19020	3220 TILLMAN DRIVE	SUITE 300	2159381661	US	PA	BENSALEM	19020	3220 TILLMAN DRIVE	SUITE 300	US	PA	232018365			1-LAF	0	1231	8-K	20230531			20230601	2023-06-01 17:29:00.0	0	0	hcsg-20230530_htm.xml	1					
